Code;Name_NL;Name_FR
1;Gelulen;Gélules
2;Ouwels;Cachets
3;Creme;Crème
4;Gel ;Gel
5;Pasta;Pâte
6;Vette zalf;Pommade gras
7;Granulaat;Granulé
8;Suppo volwassene;Suppo adulte
9;Suppo kind;Suppo enfant
10;Ovulen;Ovules
11;Rectiolen;Rectiole
12;Niet-verdeeld poeder inwendig gebruik;Poudre non-divisée usage interne
13;Niet-verdeeld poeder uitwendig gebruik;Poudre non-divisée usage externe
14;Inhalatio;Inhalation
15;Te verdelen poeders inwendig gebruik;Poudres à diviser usage interne
16;Te verdelen poeders uitwendig gebruik;Poudres à diviser usage externe
17;Neusdruppels;Gouttes nasales
18;Neuszalf;Pommade nasale
19;Siroop;Sirop
20;Oplossing inwendig gebruik;Solution usage interne
21;Oplossing uitwendig gebruik;Solution usage externe
22;Druppels inwendig gebruik;Gouttes usage interne
23;Druppels uitwendig gebruik;Gouttes usage externe
24;Emulsie inwendig gebruik;Emulsion usage interne
25;Emulsie uitwendig gebruik;Emulsion usage externe
26;Shampoo;Shampooing
27;Oogdruppels;Gouttes ophtalmiques
28;Ooglotion;Lotion ophtalmique
29;Oogbad;Bain ophtalmique
30;Zalf;Pommade
31;Oogzalf;Pommade ophtalmique
32;Oordruppels;Gouttes auriculaires
33;Suspensie inwendig gebruik;Suspension usage interne
34;Suspensie uitwendig gebruik;Suspension usage externe
35;Pillen;Pilules
36;Tabletten;Comprimés
37;Strooipoeder;Poudre à saupoudrer
38;Parels;Perles
40;Kruidenmengsel;Mélange de plantes
41;Thee;Thé
71;Gelulen enterisch omhuld;Gélules enrobées
90;Als dusdanig;Telle quelle
